ID	Bacteria	Host
AgProtect_1765	Mycoplasma_gallisepticum	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1764	Mycoplasma_gallisepticum	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1763	Mycoplasma_gallisepticum	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1762	Mycoplasma_gallisepticum	Gallus_gallus;Meleagris_gallopavo_domesticus
AgProtect_1761	Mycobacterium_abscessus	Homo_sapiens;Danio_rerio
AgProtect_1760	Mycobacterium_marinum	Homo_sapiens;Dicentrarchus_labrax;Danio_rerio;Cyprinus_carpio;Morone_saxatilis
AgProtect_176	Haemophilus_influenzae	Homo_sapiens;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1759	Mycobacterium_leprae	Homo_sapiens;Pan_troglodytes;Macaca_mulatta
AgProtect_1758	Mycobacterium_avium	Homo_sapiens;Bos_taurus;Gallus_gallus
AgProtect_1757	Mycobacterium_avium	Homo_sapiens;Bos_taurus;Gallus_gallus
AgProtect_1756	Mycobacterium_avium	Homo_sapiens;Bos_taurus;Gallus_gallus
AgProtect_1755	Mycobacterium_avium	Homo_sapiens;Bos_taurus;Gallus_gallus
AgProtect_1754	Mycobacterium_avium	Homo_sapiens;Bos_taurus;Gallus_gallus
AgProtect_1753	Mycobacterium_avium	Homo_sapiens;Bos_taurus;Gallus_gallus
AgProtect_1752	Mycobacterium_avium	Homo_sapiens;Bos_taurus;Gallus_gallus
AgProtect_1751	Mycobacterium_avium	Homo_sapiens;Bos_taurus;Gallus_gallus
AgProtect_1750	Mycobacterium_avium	Homo_sapiens;Bos_taurus;Gallus_gallus
AgProtect_175	Haemophilus_influenzae	Homo_sapiens;Macaca_mulatta;Macaca_fasicularis;Pan_troglodytes
AgProtect_1749	Mycobacterium_avium	Homo_sapiens;Bos_taurus;Gallus_gallus
AgProtect_1748	Mycobacterium_avium	Homo_sapiens;Bos_taurus;Gallus_gallus
AgProtect_1747	Mycobacterium_avium	Homo_sapiens;Bos_taurus;Gallus_gallus
AgProtect_1746	Mycobacterium_avium	Homo_sapiens;Bos_taurus;Gallus_gallus
AgProtect_1745	Mycobacterium_avium	Homo_sapiens;Bos_taurus;Gallus_gallus
AgProtect_1744	Mycobacterium_avium	Homo_sapiens;Bos_taurus;Gallus_gallus
AgProtect_1743	Mycobacterium_avium	Homo_sapiens;Bos_taurus;Gallus_gallus
AgProtect_1742	Mycobacterium_avium	Homo_sapiens;Bos_taurus;Gallus_gallus
AgProtect_1741	Mannheimia_haemolytica	Bos_taurus;Ovis_orientalis_aries;Capra_aegagrus_hircus
AgProtect_1740	Mannheimia_haemolytica	Bos_taurus;Ovis_orientalis_aries;Capra_aegagrus_hircus
AgProtect_174	Francisella_tularensis	Homo_sapiens;Oryctolagus_cuniculus_domesticus;Felis_silvestris_catus;Equus_ferus_caballus;Canis_familiaris
AgProtect_1739	Mannheimia_haemolytica	Bos_taurus;Ovis_orientalis_aries;Capra_aegagrus_hircus
AgProtect_1738	Mycobacterium_ulcerans	Homo_sapiens
AgProtect_1737	Mesomycoplasma_hyopneumoniae	Sus_scrofa
AgProtect_1736	Chlamydia_pecorum	Ovis_orientalis_aries;Capra_aegagrus_hircus;Sus_scrofa;Bos_taurus;Equus_ferus_caballus
AgProtect_1735	Chlamydia_pecorum	Ovis_orientalis_aries;Capra_aegagrus_hircus;Sus_scrofa;Bos_taurus;Equus_ferus_caballus
AgProtect_1734	Chlamydia_pecorum	Ovis_orientalis_aries;Capra_aegagrus_hircus;Sus_scrofa;Bos_taurus;Equus_ferus_caballus
AgProtect_1733	Chlamydia_pecorum	Ovis_orientalis_aries;Capra_aegagrus_hircus;Sus_scrofa;Bos_taurus;Equus_ferus_caballus
AgProtect_1732	Mycolicibacterium_neoaurum	Homo_sapiens
AgProtect_1731	Enterococcus_saccharolyticus	Homo_sapiens;Bos_taurus
AgProtect_1730	Coxiella_burnetii	Ovis_orientalis_aries;Homo_sapiens;Capra_aegagrus_hircus;Bos_taurus;Felis_silvestris_catus
AgProtect_173	Francisella_tularensis	Homo_sapiens;Oryctolagus_cuniculus_domesticus;Felis_silvestris_catus;Equus_ferus_caballus;Canis_familiaris
AgProtect_1729	Chlamydia_pneumoniae	Homo_sapiens;Equus_ferus_caballus;Bos_taurus;Canis_familiaris;Felis_silvestris_catus
AgProtect_1728	Chlamydia_pneumoniae	Homo_sapiens;Equus_ferus_caballus;Bos_taurus;Canis_familiaris;Felis_silvestris_catus
AgProtect_1727	Chlamydia_pneumoniae	Homo_sapiens;Equus_ferus_caballus;Bos_taurus;Canis_familiaris;Felis_silvestris_catus
AgProtect_1726	Chlamydia_pneumoniae	Homo_sapiens;Equus_ferus_caballus;Bos_taurus;Canis_familiaris;Felis_silvestris_catus
AgProtect_1725	Chlamydia_pneumoniae	Homo_sapiens;Equus_ferus_caballus;Bos_taurus;Canis_familiaris;Felis_silvestris_catus
AgProtect_1724	Chlamydia_pneumoniae	Homo_sapiens;Equus_ferus_caballus;Bos_taurus;Canis_familiaris;Felis_silvestris_catus
AgProtect_1723	Chlamydia_pneumoniae	Homo_sapiens;Equus_ferus_caballus;Bos_taurus;Canis_familiaris;Felis_silvestris_catus
AgProtect_1722	Mycobacterium_leprae	Homo_sapiens;Pan_troglodytes;Macaca_mulatta
AgProtect_1721	Chlamydia_trachomatis	Homo_sapiens
